570.000,430.000
728.000,234.000
409.000,177.000
423.000,517.000
768.000,667.000
581.000,112.000
588.000,685.000
164.000,623.000
473.000,487.000
962.000,475.000
485.000,366.000
177.000,792.000
707.000,277.000
547.000,749.000
903.000,121.000
869.000,266.000
643.000,276.000
913.000,470.000
873.000,354.000
923.000,740.000
556.000,572.000
524.000,395.000
671.000,568.000
886.000,518.000
954.000,203.000
320.000,38.000
589.000,237.000
721.000,448.000
139.000,258.000
591.000,795.000
111.000,465.000
678.000,423.000
725.000,548.000
592.000,163.000
933.000,694.000
853.000,277.000
999.000,337.000
775.000,731.000
482.000,102.000
846.000,182.000
667.000,625.000
441.000,787.000
288.000,350.000
206.000,123.000
456.000,613.000
481.000,210.000
515.000,732.000
686.000,104.000
786.000,256.000
973.000,720.000
843.000,487.000
495.000,417.000
775.000,189.000
832.000,129.000
632.000,265.000
931.000,567.000
30.000,636.000
922.000,409.000
517.000,264.000
539.000,344.000
370.000,612.000
712.000,354.000
623.000,579.000
892.000,790.000
595.000,49.000
720.000,652.000
446.000,227.000
533.000,86.000
341.000,748.000
898.000,33.000
330.000,251.000
796.000,629.000
646.000,325.000
588.000,212.000
31.000,503.000
787.000,279.000
660.000,106.000
980.000,532.000
296.000,579.000
508.000,597.000
953.000,5.000
985.000,125.000
927.000,342.000
59.000,93.000
525.000,178.000
824.000,412.000
513.000,674.000
700.000,320.000
624.000,314.000
789.000,236.000
425.000,344.000
895.000,232.000
903.000,759.000
813.000,767.000
582.000,351.000
660.000,663.000
808.000,194.000
892.000,207.000
842.000,362.000
731.000,799.000
566.000,178.000
571.000,637.000
562.000,254.000
682.000,792.000
66.000,260.000
449.000,45.000
875.000,566.000
853.000,119.000
324.000,429.000
695.000,503.000
566.000,524.000
920.000,786.000
940.000,280.000
606.000,727.000
407.000,400.000
862.000,647.000
992.000,16.000
665.000,255.000
630.000,766.000
172.000,29.000
503.000,527.000
470.000,689.000
623.000,479.000
139.000,385.000
211.000,420.000
855.000,37.000
399.000,732.000
986.000,211.000
604.000,606.000
494.000,25.000
473.000,277.000
342.000,8.000
567.000,288.000
799.000,134.000
770.000,345.000
661.000,366.000
464.000,151.000
634.000,136.000
965.000,614.000
